RowId,Word,TF-IDF
1,financial,-0.00192
2,findings,-0.00213
3,customers,-0.00302
4,data,-0.00149
5,states,-0.00171
6,platforms,-0.00201
7,products,-0.00119
8,key,-0.00098
9,conclusion,-0.00152
10,customer,-0.00092
11,insurance,-0.00131
12,introduction,-0.0015
13,market,-0.00128
14,banks,-0.00109
15,implications,-0.00081
16,services,-0.00248
17,payments,-0.00071
18,digital,-0.00438
19,platform,-0.00112
20,firms,-0.00109
21,banking,-0.00092
22,product,-0.00091
23,regulators,-0.00083
24,infrastructure,-0.00089
25,institutions,-0.00082
26,capital,-0.00066
27,investment,-0.00156
28,management,-0.00101
29,payment,-0.00159
30,markets,-0.00075
31,online,-0.00075
32,technology,-0.001
33,bank,-0.00309
34,cost,-0.00073
35,investors,-0.00142
36,traditional,-0.00248
37,providers,-0.00111
38,business,-0.00068
39,large,-0.00072
40,industry,-0.00066
41,alternative,-0.00231
42,risk,-0.0009
43,risks,-0.00137
44,opportunities,-0.00115
45,intermediaries,-0.0011
46,high,-0.00097
47,processes,-0.00065
48,based,-0.00074
49,future,-0.00113
50,trading,-0.00081
51,potential,-0.00072
52,access,-0.00154
53,models,-0.00073
54,provide,-0.00108
55,increased,-0.00072
56,individual,-0.0007
57,wealth,-0.00068
58,ability,-0.00064
59,regulatory,-0.00103
60,smart,-0.00211
61,economic,-0.00197
62,forum,-0.00197
63,time,-0.00192
64,trade,-0.0016
65,contract,-0.00157
66,state,-0.00151
67,process,-0.00142
68,investor,-0.00136
69,asset,-0.00125
70,ledger,-0.00103
71,current,-0.001
72,settlement,-0.001
73,loan,-0.001
74,regulator,-0.00092
75,automated,-0.00091
76,distributed,-0.00089
77,transfer,-0.00061
78,global,-0.00092
79,activities,-0.00075
80,loss,-0.00068
81,case,-0.00066
82,identity,-0.01083
83,user,-0.00332
84,systems,-0.00321
85,system,-0.00309
86,users,-0.00293
87,transactions,-0.00215
88,entities,-0.00195
89,transaction,-0.00143
90,entity,-0.00117
91,service,-0.00111
92,legal,-0.00098
93,government,-0.00098
94,private,-0.00094
95,single,-0.0008
96,parties,-0.00078
97,rp,-0.00078
98,trusted,-0.00076
99,set,-0.00076
100,standards,-0.00074
101,individuals,-0.00072
102,solutions,-0.0007
103,deloitte,-0.00068
104,solution,-0.00065
105,assets,-0.00065
